,School_Name,School_District,School_Address,School_Phone_Number,Principal_FName,Principal_LName,Grades,School_Type,Super_Phone_Number,Super_FName,Super_LName
284,Bensley Elementary,Chesterfield County Public Schools,"6600 Strathmore Rd North Chesterfield, VA 23237-1129",804-743-3610,Patrice,Wilson,PK-5,Elementary,804-748-1434,Mervin,Daugherty
285,Bettie Weaver Elementary,Chesterfield County Public Schools,"3600 James River Rd Midlothian, VA 23113-3718",804-378-2540,Robin,Riley,PK-5,Elementary,804-748-1434,Mervin,Daugherty
286,Beulah Elementary,Chesterfield County Public Schools,"5441 Beulah Rd North Chesterfield, VA 23237-1450",804-743-3620,Christina,Allen-Roach,PK-5,Elementary,804-748-1434,Mervin,Daugherty
287,Bon Air Elementary,Chesterfield County Public Schools,"8701 Polk St Bon Air, VA 23235-3403",804-560-2700,Angie,Klyce,PK-5,Elementary,804-748-1434,Mervin,Daugherty
288,C.C. Wells Elementary,Chesterfield County Public Schools,"13101 S. Chester Rd. Chester, VA 23831-4553",804-768-6265,Fredrick,Geissler,PK-5,Elementary,804-748-1434,Mervin,Daugherty
289,C.E. Curtis Elementary,Chesterfield County Public Schools,"3600 W Hundred Rd Chester, VA 23831-1926",804-768-6175,Susan,Pereira,PK-5,Elementary,804-748-1434,Mervin,Daugherty
290,Clover Hill Elementary,Chesterfield County Public Schools,"5700 Woodlake Village Pkwy Midlothian, VA 23112-2434",804-739-6220,Karyn,Andersen,PK-5,Elementary,804-748-1434,Mervin,Daugherty
291,Crestwood Elementary,Chesterfield County Public Schools,"7600 Whittington Dr. Richmond, VA 23225-2137",804-560-2710,Lindsay,Porzio,PK-5,Elementary,804-748-1434,Mervin,Daugherty
292,Ecoff Elementary,Chesterfield County Public Schools,"5200 Ecoff Ave. Chester, VA 23831-1516",804-768-6185,Kristin,Tait,PK-5,Elementary,804-748-1434,Mervin,Daugherty
293,Elizabeth Scott Elementary,Chesterfield County Public Schools,"813 Beginners Trail Loop Chester, VA 23836",804-541-4660,Julie,Buntich,PK-5,Elementary,804-748-1434,Mervin,Daugherty
294,Enon Elementary,Chesterfield County Public Schools,"2001 E. Hundred Rd. Chester, VA 23836-3503",804-530-5720,Paula,Huffman,PK-5,Elementary,804-748-1434,Mervin,Daugherty
295,Ettrick Elementary,Chesterfield County Public Schools,"20910 Chesterfield Ave. Ettrick, VA 23803-1904",804-520-6005,Randi,Smith,PK-5,Elementary,804-748-1434,Mervin,Daugherty
296,Evergreen Elementary,Chesterfield County Public Schools,"1701 Evergreen East Pkwy. Midlothian, VA 23114",804-378-2400,Matthew,Maher,PK-5,Elementary,804-748-1434,Mervin,Daugherty
297,Falling Creek Elementary,Chesterfield County Public Schools,"4800 Hopkins Rd. Richmond, VA 23234-3659",804-743-3630,Reshaud,Johnson,PK-5,Elementary,804-748-1434,Mervin,Daugherty
298,Grange Hall Elementary,Chesterfield County Public Schools,"19301 Hull Street Rd. Moseley, VA 23120-1412",804-739-6265,Courtney,Jones,PK-5,Elementary,804-748-1434,Mervin,Daugherty
299,Greenfield Elementary,Chesterfield County Public Schools,"10751 Savoy Rd. North Chesterfield, VA 23235-3651",804-560-2720,Jennifer,Andrews,PK-5,Elementary,804-748-1434,Mervin,Daugherty
300,Harrowgate Elementary,Chesterfield County Public Schools,"4000 Cougar Trail Chester, VA 23831-7127",804-520-6015,Christina,Serola,PK-5,Elementary,804-748-1434,Mervin,Daugherty
301,Hopkins Road Elementary,Chesterfield County Public Schools,"6000 Hopkins Rd. North Chesterfield, VA 23234-5438",804-743-3665,Lisa,Hill,PK-5,Elementary,804-748-1434,Mervin,Daugherty
302,J.A. Chalkley Elementary,Chesterfield County Public Schools,"3301 Turner Road Chesterfield, VA 23832",804-674-1300,Guillermo,Gonzalez,PK-5,Elementary,804-748-1434,Mervin,Daugherty
303,J.B. Watkins Elementary,Chesterfield County Public Schools,"501 Coalfield Rd. Midlothian, VA 23114-4406",804-378-2530,Deborah,Weatherford,PK-5,Elementary,804-748-1434,Mervin,Daugherty
304,J.G. Hening Elementary,Chesterfield County Public Schools,"5230 Chicora Dr. North Chesterfield, VA 23234-4608",804-743-3655,Kristin,Saady,PK-5,Elementary,804-748-1434,Mervin,Daugherty
305,Jacobs Road Elementary,Chesterfield County Public Schools,"8800 Jacobs Rd. Chesterfield, VA 23832-7517",804-674-1320,Jennifer,Lenz,PK-5,Elementary,804-748-1434,Mervin,Daugherty
306,Marguerite F. Christian Elementary,Chesterfield County Public Schools,"14801 Woods Edge Rd. Colonial Heights, VA 23834-6031",804-530-5733,Rovez,Ingram,PK-5,Elementary,804-748-1434,Mervin,Daugherty
307,Matoaca Elementary,Chesterfield County Public Schools,"6627 River Rd South Chesterfield, VA 23803-0057",804-590-3100,Melanie,Jasinkiewicz,PK-5,Elementary,804-748-1434,Mervin,Daugherty
308,Moseley Elementary,Chesterfield County Public Schools,"7100 Magnolia Green Parkway Moseley, VA 23120",804-639-8914,Karen,Dubiel,PK-5,Elementary,804-748-1434,Mervin,Daugherty
309,O.B. Gates Elementary,Chesterfield County Public Schools,"10001 Courthouse Rd. Chesterfield, VA 23832-6655",804-768-6195,Giuliana,Brink,PK-5,Elementary,804-748-1434,Mervin,Daugherty
310,Old Hundred Elementary,Chesterfield County Public Schools,"1501 Old Hundred Road Midlothian, VA 23114",804-748-1405,Lindsay,Mottley,KG-5,Elementary,804-748-1434,Mervin,Daugherty
311,Providence Elementary,Chesterfield County Public Schools,"11001 W. Providence Rd. North Chesterfield, VA 23236-5220",804-674-1345,Sharon,Rucker,PK-5,Elementary,804-748-1434,Mervin,Daugherty
312,Reams Road Elementary,Chesterfield County Public Schools,"10141 Reams Rd. North Chesterfield, VA 23236-2845",804-674-1370,Jodi,Seitz,PK-5,Elementary,804-748-1434,Mervin,Daugherty
313,Robious Elementary,Chesterfield County Public Schools,"2801 Robious Crossing Dr. Midlothian, VA 23113-2188",804-378-2500,Karen,Chapman,PK-5,Elementary,804-748-1434,Mervin,Daugherty
314,Salem Church Elementary,Chesterfield County Public Schools,"9600 Salem Church Rd. North Chesterfield, VA 23237-3130",804-768-6215,Natasha,Wade,PK-5,Elementary,804-748-1434,Mervin,Daugherty
315,Spring Run Elementary,Chesterfield County Public Schools,"13901 Spring Run Rd Midlothian, VA 23112-1708",804-639-6352,Christopher,Hart,PK-5,Elementary,804-748-1434,Mervin,Daugherty
316,Swift Creek Elementary,Chesterfield County Public Schools,"13800 Genito Rd. Midlothian, VA 23112-4006",804-739-6305,Christopher,Hart,PK-5,Elementary,804-748-1434,Mervin,Daugherty
317,Thelma Crenshaw Elementary,Chesterfield County Public Schools,"11901 Bailey Bridge Rd. Midlothian, VA 23112-3136",804-739-6250,Brian,Campos,PK-5,Elementary,804-748-1434,Mervin,Daugherty
318,W.W. Gordon Elementary,Chesterfield County Public Schools,"11701 Gordon School Rd. North Chesterfield, VA 23236-2510",804-378-2410,Natalie,Bare,PK-5,Elementary,804-748-1434,Mervin,Daugherty
319,Winterpock Elementary,Chesterfield County Public Schools,"9000 Elementary Way Loop Chesterfield, VA 23832",804-763-5051,Tylea,Owens,PK-5,Elementary,804-748-1434,Mervin,Daugherty
320,Woolridge Elementary,Chesterfield County Public Schools,"5401 Timber Bluff Pkwy. Midlothian, VA 23112-6380",804-739-6330,Kathleen,Matheny,PK-5,Elementary,804-748-1434,Mervin,Daugherty
321,Bailey Bridge Middle,Chesterfield County Public Schools,"12501 Bailey Bridge Rd Midlothian, VA 23112-1803",804-739-6200,Melanie,Knowles,6-8,Middle,804-748-1434,Mervin,Daugherty
322,Carver Middle,Chesterfield County Public Schools,"3800 Cougar Trail Chester, VA 23831",804-524-3620,Bryan,Hicks,6-8,Middle,804-748-1434,Mervin,Daugherty
323,Elizabeth Davis Middle,Chesterfield County Public Schools,"601 Corvus Court Chester, VA 23836",804-541-4700,Matthew,Strittmatter,6-8,Middle,804-748-1434,Mervin,Daugherty
324,Falling Creek Middle,Chesterfield County Public Schools,"4724 Hopkins Rd. North Chesterfield, VA 23234-3657",804-743-3640,Sheryl,Doswell,6-8,Middle,804-748-1434,Mervin,Daugherty
325,Manchester Middle,Chesterfield County Public Schools,"7401 Hull Street Rd. North Chesterfield, VA 23235-5807",804-674-1385,David,Altizer,6-8,Middle,804-748-1434,Mervin,Daugherty
326,Matoaca Middle,Chesterfield County Public Schools,"6001 Hickory Road Matoaca, VA 23803-6410",804-590-3130,Gayle,Hines,6-8,Middle,804-748-1434,Mervin,Daugherty
327,Midlothian Middle,Chesterfield County Public Schools,"13501 Midlothian Turnpike Midlothian, VA 23113-4215",804-378-2460,Arianne,Hayes,6-8,Middle,804-748-1434,Mervin,Daugherty
328,Providence Middle,Chesterfield County Public Schools,"900 Starlight Lane North Chesterfield, VA 23235-5354",804-674-1355,Michael-Jon,Rodney,6-8,Middle,804-748-1434,Mervin,Daugherty
329,Robious Middle,Chesterfield County Public Schools,"2701 Robious Crossing Dr Midlothian, VA 23113-2187",804-378-2510,Michael-Jon,Rodney,6-8,Middle,804-748-1434,Mervin,Daugherty
330,Salem Church Middle,Chesterfield County Public Schools,"9700 Salem Church Rd.; North Chesterfield, VA 23237-3128",804-768-6225,Michael-Jon,Rodney,6-8,Middle,804-748-1434,Mervin,Daugherty
331,Swift Creek Middle,Chesterfield County Public Schools,"3700 Old Hundred Rd Midlothian, VA 23112-4702",804-739-6315,Edward,Maynes,6-8,Middle,804-748-1434,Mervin,Daugherty
332,Tomahawk Creek Middle,Chesterfield County Public Schools,"1600 Learning Place Loop Midlothian, VA 23114",804-378-7120,Rebecca,Thompson,6-8,Middle,804-748-1434,Mervin,Daugherty
333,Clover Hill High,Chesterfield County Public Schools,"13301 Kelly Green Lane Midlothian, VA 23112-2004",804-739-6230,John,Phillips,9-12,High,804-748-1434,Mervin,Daugherty
334,Cosby High,Chesterfield County Public Schools,"14300 Fox Club Parkway Midlothian, VA 23112",804-639-8340,Ben,Snyder,9-12,High,804-748-1434,Mervin,Daugherty
335,James River High,Chesterfield County Public Schools,"3700 James River Rd. Midlothian, VA 23113",804-378-2420,Amanda,Voelker,9-12,High,804-748-1434,Mervin,Daugherty
336,Lloyd C. Bird High,Chesterfield County Public Schools,"10301 Courthouse Rd. Chesterfield, VA 23832-6616",804-768-6110,Adrienne,Blanton,9-12,High,804-748-1434,Mervin,Daugherty
337,Manchester High,Chesterfield County Public Schools,"12601 Bailey Bridge Rd. Midlothian, VA 23112-1805",804-739-6275,Christin,Ellis,9-12,High,804-748-1434,Mervin,Daugherty
338,Matoaca High,Chesterfield County Public Schools,"17700 Longhouse Lane Chesterfield, VA 23838",804-590-3108,Elizabeth,Baber,9-12,High,804-748-1434,Mervin,Daugherty
339,Meadowbrook High,Chesterfield County Public Schools,"4901 Cogbill Rd. North Chesterfield, VA 23234-5307",804-743-3675,Marcie,Rice,9-12,High,804-748-1434,Mervin,Daugherty
340,Midlothian High,Chesterfield County Public Schools,"401 Charter Colony Pkwy. Midlothian, VA 23114-4366",804-378-2440,Shawn,Abel,9-12,High,804-748-1434,Mervin,Daugherty
341,Monacan High,Chesterfield County Public Schools,"11501 Smoketree Dr. Richmond, VA 23236-2534",804-378-2480,William,Broyles,9-12,High,804-748-1434,Mervin,Daugherty
342,Thomas Dale High,Chesterfield County Public Schools,"3626 W. Hundred Rd. Chester, VA 23831-1926",804-768-6245,Anthony,McLaurin,9-12,High,804-748-1434,Mervin,Daugherty
343,Carver College and Career Academy,Chesterfield County Public Schools,"12400 Branders Bridge Road Chester, VA 23831",804-768-6156,Stephen,Hackett,9-12,High,804-748-1434,Mervin,Daugherty
344,Chester Early Childhood Learning Academy,Chesterfield County Public Schools,"155501 Harrogate Road Chester, VA 23831",804-748-1405,Lesley,Harris,PK,Elementary,804-748-1434,Mervin,Daugherty
345,Boyce Elementary,Clarke County Public Schools,"119 W Main St Boyce, VA 22620",540-955-6115,Maxwell,Merick,PK-5,Elementary,540-955-6100,Chuck,Bishop
346,D.G. Cooley Elementary,Clarke County Public Schools,"240 Westwood Rd Berryville, VA 22611",540-955-6120,Mary,Tinsman,KG-5,Elementary,540-955-6100,Chuck,Bishop
347,Johnson-Williams Middle,Clarke County Public Schools,"200 Swan Ave Berryville, VA 22611",540-955-6160,Patrick,White,6-8,Middle,540-955-6100,Chuck,Bishop
348,Clarke County High,Clarke County Public Schools,"627 Mosby Blvd. Berryville, VA 22611",540-955-6130,Dana,Waring,9-12,High,540-955-6100,Chuck,Bishop
349,Colonial Beach Elementary,Colonial Beach Public Schools,"102 First Street Colonial Beach, VA 22443",804-224-9897,Michele,Coates,PK-7,Elementary,804-224-0906,Clint,Mitchell
350,Colonial Beach High,Colonial Beach Public Schools,"100 First St. Colonial Beach, VA 22443",804-224-7166,Scott,Lush,8-12,High,804-224-0906,Clint,Mitchell
351,Lakeview Elementary,Colonial Heights Public Schools,"401 Taswell Ave Colonial Heights, VA 23834-3798",804-524-3435,Patrick,Neuman,PK-5,Elementary,804-524-3400,William,Sroufe
352,North Elementary,Colonial Heights Public Schools,"3201 Dale Ave Colonial Heights, VA 23834-3798",804-524-3430,Candy,Llewellyn,PK-5,Elementary,804-524-3400,William,Sroufe
353,Tussing Elementary,Colonial Heights Public Schools,"5501 Conduit Rd Colonial Heights, VA 23834-3798",804-524-3440,Remus,James,PK-5,Elementary,804-524-3400,William,Sroufe
354,Colonial Heights Middle,Colonial Heights Public Schools,"500 Conduit Rd Colonial Heights, VA 23834-3798",804-524-3420,Nicholas,LeReche,6-8,Middle,804-524-3400,William,Sroufe
355,Colonial Heights High,Colonial Heights Public Schools,"3600 Conduit Rd Colonial Heights, VA 23834-3798",804-524-3405,Mike,Nelson,9-12,High,804-524-3400,William,Sroufe
356,McCleary Elementary,Craig County Public Schools,"25345 Craigs Creek Road Hwy 615 New Castle, VA 24127",540-864-5173,Kellie,Stevens,PK-5,Elementary,540-864-5191,Jeanette Day,Warwick
357,Craig County High,Craig County Public Schools,"25239 Craigs Creek Road Hwy 615 New Castle, VA 24127",540-864-5185,Susan,Stimeling,6-12,Combined,540-864-5191,Jeanette Day,Warwick
358,A.G. Richardson Elementary,Culpeper County Public Schools,"18370 Simms Dr Culpeper, VA 22701",540-825-0616,Temesha,Dabney,PK-5,Elementary,540-825-3677,Anthony,Brads
359,Emerald Hill Elementary,Culpeper County Public Schools,"11245 Rixeyville Rd Culpeper, VA 22701",540-937-7361,Victoria,Gelbert,PK-5,Elementary,540-825-3677,Anthony,Brads
360,Farmington Elementary,Culpeper County Public Schools,"500 Sunset Ln Culpeper, VA 22701",540-825-0713,Jack Mitchell,Glick,PK-5,Elementary,540-825-3677,Anthony,Brads
361,Pearl Sample Elementary,Culpeper County Public Schools,"18480 Simms Dr Culpeper, VA 22701",540-825-5448,Daniel,Birch,PK-5,Elementary,540-825-3677,Anthony,Brads
362,Sycamore Park Elementary,Culpeper County Public Schools,"451 Radio Ln Culpeper, VA 22701",540-825-8847,Derek,McWilliams,PK-5,Elementary,540-825-3677,Anthony,Brads
363,Yowell Elementary,Culpeper County Public Schools,"701 Yowell Drive Culpeper, VA 22701",540-825-9484,Angela,Fiscus,PK-5,Elementary,540-825-3677,Anthony,Brads
364,Culpeper Middle,Culpeper County Public Schools,"14300 Achievement Dr Culpeper, VA 22701",540-825-4140,Jesse,Blackburn,6-8,Middle,540-825-3677,Anthony,Brads
365,Floyd T. Binns Middle,Culpeper County Public Schools,"205 Grandview Ave. Culpeper, VA 22701",540-829-6894,Andrea,Kilby,6-8,Middle,540-825-3677,Anthony,Brads
366,Culpeper County High,Culpeper County Public Schools,"14240 Achievement Drive Culpeper, VA 22701",540-825-8310,Daniel,Soderholm,9-12,High,540-825-3677,Anthony,Brads
367,Eastern View High,Culpeper County Public Schools,"16332 Cyclone Way Culpeper, VA 22701",540-825-0621,Nathan,Bopp,9-12,High,540-825-3677,Anthony,Brads
368,Galbreath-Marshall Building,Culpeper County Public Schools,"1401 Old Fredericksburg Rd. Culpeper, VA 22701",540-825-3677,Nathan,Bopp,PK,Elementary,540-825-3677,Anthony,Brads
369,Cumberland Elementary,Cumberland County Public Schools,"60 School Rd Cumberland, VA 23040",804-492-4212,Ginny,Gills,PK-4,Elementary,804-492-4212,Chip,Jones
370,Cumberland High,Cumberland County Public Schools,"15 School Rd Cumberland, VA 23040",804-492-4212,Eugene,Williams,9-12,High,804-492-4212,Chip,Jones
371,Cumberland Middle,Cumberland County Public Schools,"16 School Road Cumberland, VA 23040",804-492-4212,Andrew,Hoyt,5-8,Combined,804-492-4212,Chip,Jones
372,Edwin A. Gibson Elementary,Danville Public Schools,"1215 Industrial Avenue Danville, VA 24541",434-799-6426,Star,Norton,KG-5,Elementary,434-799-6400,Angela,Hairston
373,Forest Hills Elementary,Danville Public Schools,"155 Mountain View Ave Danville, VA 24541",434-799-6430,James,Kirkpatrick,KG-5,Elementary,434-799-6400,Angela,Hairston
374,G.L.H. Johnson Elementary,Danville Public Schools,"680 Arnett Blvd Danville, VA 24540",434-799-6433,Kevin,Bowman,KG-5,Elementary,434-799-6400,Angela,Hairston
375,Park Avenue Elementary,Danville Public Schools,"661 Park Ave Danville, VA 24541",434-799-6452,Elizabeth,Bennett,KG-5,Elementary,434-799-6400,Angela,Hairston
376,Schoolfield Elementary,Danville Public Schools,"1400 W Main St Danville, VA 24541",434-799-6455,LaTonya,Simmons,KG-5,Elementary,434-799-6400,Angela,Hairston
377,Woodberry Hills Elementary,Danville Public Schools,"614 Audubon Dr Danville, VA 24540",434-799-6466,Lesa,Shelton,KG-5,Elementary,434-799-6400,Angela,Hairston
378,O. Trent Bonner Middle,Danville Public Schools,"300 Apollo Ave Danville, VA 24540",434-799-6446,Wayne,Mayo,6-8,Middle,434-799-6400,Angela,Hairston
379,Westwood Middle,Danville Public Schools,"500 Apollo Ave Danville, VA 24540",434-797-8860,Wayne,Mayo,6-8,Middle,434-799-6400,Angela,Hairston
380,Galileo Magnet High,Danville Public Schools,"230 S. Ridge St. Danville, VA 24541",434-773-8186,Angela Michelle,Ramsey,9-12,High,434-799-6400,Angela,Hairston
381,George Washington High,Danville Public Schools,"701 Broad St Danville, VA 24541",434-799-6410,Reyhan,Deskins,9-12,High,434-799-6400,Angela,Hairston
382,Grove Park Preschool,Danville Public Schools,"1070 S Main St Danville, VA 24541",434-799-6437,Rhonda,Wright,PK,Elementary,434-799-6400,Angela,Hairston
383,The Northside Preschool,Danville Public Schools,"121 Gloucester Ave Danville, VA 24540",434-773-8301,Rhonda,Wright,PK,Elementary,434-799-6400,Angela,Hairston
384,Clintwood Elementary,Dickenson County Public Schools,"150 Elementary Circle Clintwood, VA 24228-0585",276-926-6088,Tony,Robinson,PK-5,Elementary,276-926-4643,Haydee,Robinson
385,Ervinton Elementary,Dickenson County Public Schools,"195 Ervinton Circle Nora, VA 24272-0519",276-835-8423,Dwayne,Edwards,PK-5,Elementary,276-926-4643,Haydee,Robinson
386,Sandlick Elementary,Dickenson County Public Schools,"186 Anderson Lane Birchleaf, VA 24220-0188",276-865-5361,Jesse,Neece,PK-5,Elementary,276-926-4643,Haydee,Robinson
387,Ridgeview Middle,Dickenson County Public Schools,"320 Wolfpack Way Clintwood, VA 24228",276-835-1601,John Randall,Whitner,6-8,Middle,276-926-4643,Haydee,Robinson
388,Ridgeview High,Dickenson County Public Schools,"310 Wolfpack Way Clintwood, VA 24228",276-835-1600,Rodney,Compton,9-12,High,276-926-4643,Haydee,Robinson
389,Dinwiddie Elementary,Dinwiddie County Public Schools,"13811 Boydton Plank Rd Dinwiddie, VA 23841",804-469-4580,Leigh Ann,Adams,KG-5,Elementary,804-469-4190,Kari,Weston
390,Midway Elementary,Dinwiddie County Public Schools,"5511 Midway Rd Church Road, VA 23833",804-265-4205,Randal,Johnson,KG-5,Elementary,804-469-4190,Kari,Weston
391,Southside Elementary,Dinwiddie County Public Schools,"10305 Boydton Plank Rd Dinwiddie, VA 23841",804-469-4480,Sheri,Culbreath,PK-5,Elementary,804-469-4190,Kari,Weston
392,Sunnyside Elementary,Dinwiddie County Public Schools,"10203 Melvin B. Alsbrooks Avenue Mckenney, VA 23872",804-478-2313,Davis,Roberts,PK-5,Elementary,804-469-4190,Kari,Weston
393,Sutherland Elementary,Dinwiddie County Public Schools,"6000 R. B. Pamplin Drive Sutherland, VA 23885",804-732-4168,JaVonda,Tucker,PK-5,Elementary,804-469-4190,Kari,Weston
394,Dinwiddie County Middle,Dinwiddie County Public Schools,"11608 Courthouse Road Dinwiddie, VA 23841",804-469-5430,Brenton,Byrd,6-8,Middle,804-469-4190,Kari,Weston
395,Dinwiddie County High,Dinwiddie County Public Schools,"11501 Boisseau Road Dinwiddie, VA 23841",804-469-4280,Robbie,Garnes,9-12,High,804-469-4190,Kari,Weston
396,James H. Cary Intermediate,Essex County Public Schools,"912 Intermediate School Circle Tappahannock, VA 22560",804-443-3040,Fonella,Calhoun,4-7,Elementary,804-443-4366,Harry Thomas,III
397,Tappahannock Elementary,Essex County Public Schools,"205 Elementary School Circle Tappahannock, VA 22560",804-443-5301,Janet,Garland,PK-3,Elementary,804-443-4366,Harry Thomas,III
398,Essex High,Essex County Public Schools,"833 High School Circle Tappahannock, VA 22560",804-443-4301,Damean,Barfield,8-12,High,804-443-4366,Harry Thomas,III
399,Aldrin Elementary,Fairfax County Public Schools,"11375 Center Harbor Rd Reston, VA 20194-2061",703-904-3800,Shane,Wolfe,PK-6,Elementary,571-423-1010,Michelle,Reid
400,Annandale Terrace Elementary,Fairfax County Public Schools,"7604 Herald St Annandale, VA 22003",703-658-5600,Cynthia,Choate,PK-5,Elementary,571-423-1010,Michelle,Reid
401,Archer Elementary,Fairfax County Public Schools,"324 Nutley St NW Vienna, VA 22180",703-937-6200,Michelle,Makrigiorgos,PK-6,Elementary,571-423-1010,Michelle,Reid
402,Armstrong Elementary,Fairfax County Public Schools,"11900 Lake Newport Rd Reston, VA 20194-1500",703-375-4800,James,Quinn,PK-6,Elementary,571-423-1010,Michelle,Reid
403,Bailey's Elementary School for the Arts and Sciences,Fairfax County Public Schools,"6111 Knollwood Dr Falls Church, VA 22041",703-575-6800,Satonya,Dews,PK-2,Elementary,571-423-1010,Michelle,Reid
404,Bailey's Upper Elementary School for the Arts and Sciences,Fairfax County Public Schools,"6245 Leesburg Pike Falls Church, VA 22044",703-503-2700,Marie,Lemmon,3-5,Elementary,571-423-1010,Michelle,Reid
405,Beech Tree Elementary,Fairfax County Public Schools,"3401 Beechtree Ln Falls Church, VA 22042",703-531-2600,Karim,Daugherty,PK-5,Elementary,571-423-1010,Michelle,Reid
406,Belle View Elementary,Fairfax County Public Schools,"6701 Fort Hunt Rd Alexandria, VA 22307",703-660-8300,Thomas,Kuntz,PK-6,Elementary,571-423-1010,Michelle,Reid
407,Belvedere Elementary,Fairfax County Public Schools,"6540 Columbia Pike Falls Church, VA 22041",703-916-6800,Cecilia,Vanderhye,PK-5,Elementary,571-423-1010,Michelle,Reid
408,Bonnie Brae Elementary,Fairfax County Public Schools,"5420 Sideburn Rd Fairfax, VA 22032",703-321-3900,Morgan,Birge,PK-6,Elementary,571-423-1010,Michelle,Reid
409,Braddock Elementary,Fairfax County Public Schools,"7825 Heritage Dr Annandale, VA 22003",703-914-7300,Keesha,Jackson-Muir,PK-5,Elementary,571-423-1010,Michelle,Reid
410,Bren Mar Park Elementary,Fairfax County Public Schools,"6344 Beryl Rd Alexandria, VA 22312",703-914-7200,Elizabeth,Williams,PK-5,Elementary,571-423-1010,Michelle,Reid
411,Brookfield Elementary,Fairfax County Public Schools,"4200 Lees Corner Rd Chantilly, VA 20151-2826",703-814-8700,Ellen,Mukai,PK-6,Elementary,571-423-1010,Michelle,Reid
412,Bucknell Elementary,Fairfax County Public Schools,"6925 University Dr Alexandria, VA 22307",703-660-2900,Rashida,Green,PK-6,Elementary,571-423-1010,Michelle,Reid
413,Bull Run Elementary,Fairfax County Public Schools,"15301 Lee Hwy Centreville, VA 20121",703-227-1400,Jason,Pensler,PK-6,Elementary,571-423-1010,Michelle,Reid
414,Bush Hill Elementary,Fairfax County Public Schools,"5927 Westchester St Alexandria, VA 22310",703-924-5600,Mary,Duffy,PK-6,Elementary,571-423-1010,Michelle,Reid
415,Camelot Elementary,Fairfax County Public Schools,"8100 Guinevere Dr Annandale, VA 22003",703-645-7000,Aileen,Flaherty,PK-6,Elementary,571-423-1010,Michelle,Reid
416,Cameron Elementary,Fairfax County Public Schools,"3434 Campbell Dr Alexandria, VA 22303",703-329-2100,Eric,Johnson,PK-6,Elementary,571-423-1010,Michelle,Reid
417,Canterbury Woods Elementary,Fairfax County Public Schools,"4910 Willet Dr Annandale, VA 22003",703-764-5600,Leslie,Malkowski,PK-6,Elementary,571-423-1010,Michelle,Reid
418,Cardinal Forest Elementary,Fairfax County Public Schools,"8600 Forrester Blvd Springfield, VA 22152",703-923-5200,Felicia,Drake,PK-6,Elementary,571-423-1010,Michelle,Reid
419,Centre Ridge Elementary,Fairfax County Public Schools,"14400 New Braddock Rd Centreville, VA 20121-3440",703-227-2600,Jennifer,Hertzberg,PK-6,Elementary,571-423-1010,Michelle,Reid
420,Centreville Elementary,Fairfax County Public Schools,"14330 Green Trails Blvd Centreville, VA 20121-3879",703-502-3500,Joshua,Douds,PK-6,Elementary,571-423-1010,Michelle,Reid
421,Cherry Run Elementary,Fairfax County Public Schools,"9732 Ironmaster Dr Burke, VA 22015",703-923-2800,Mark,Bibbee,PK-6,Elementary,571-423-1010,Michelle,Reid
422,Chesterbrook Elementary,Fairfax County Public Schools,"1753 Kirby Rd McLean, VA 22101",703-714-8200,Stacy,Kirkpatrick,PK-6,Elementary,571-423-1010,Michelle,Reid
423,Churchill Road Elementary,Fairfax County Public Schools,"7100 Churchill Rd McLean, VA 22101",703-288-8400,Cherith,Pierson,PK-6,Elementary,571-423-1010,Michelle,Reid
424,Clearview Elementary,Fairfax County Public Schools,"12635 Builders Rd Herndon, VA 20170-2999",703-708-6000,Stephanie,Almquist,PK-6,Elementary,571-423-1010,Michelle,Reid
425,Clermont Elementary,Fairfax County Public Schools,"5720 Clermont Dr Alexandria, VA 22310",703-921-2400,Roxanne,Salata,PK-6,Elementary,571-423-1010,Michelle,Reid
426,Coates Elementary,Fairfax County Public Schools,"2480 River Birch Rd. Herndon, VA 20171",703-713-3000,Paul,Basdekis,PK-6,Elementary,571-423-1010,Michelle,Reid
427,Columbia Elementary,Fairfax County Public Schools,"6720 Alpine Dr Annandale, VA 22003",703-916-2500,Michael,Astudillo,PK-5,Elementary,571-423-1010,Michelle,Reid
428,Colvin Run Elementary,Fairfax County Public Schools,"1400 Trap Rd. Vienna, VA 22182",703-757-3000,Kenneth,Junge,PK-6,Elementary,571-423-1010,Michelle,Reid
429,Crestwood Elementary,Fairfax County Public Schools,"6010 Hanover Ave Springfield, VA 22150",703-923-5400,Marquerite,Saitta,PK-6,Elementary,571-423-1010,Michelle,Reid
430,Crossfield Elementary,Fairfax County Public Schools,"2791 Fox Mill Rd Herndon, VA 20171-2000",703-295-1100,Mark,Granieri,PK-6,Elementary,571-423-1010,Michelle,Reid
431,Cub Run Elementary,Fairfax County Public Schools,"5301 Sully Station Dr Centreville, VA 20120-1367",703-633-7500,Natalie,Lorenzi,PK-6,Elementary,571-423-1010,Michelle,Reid
432,Cunningham Park Elementary,Fairfax County Public Schools,"1001 Park St SE Vienna, VA 22180",703-255-5600,Katharine,Le,PK-6,Elementary,571-423-1010,Michelle,Reid
433,Daniels Run Elementary,Fairfax County Public Schools,"3705 Old Lee Hwy Fairfax, VA 22030",703-279-8400,Christopher,Smith,PK-6,Elementary,571-423-1010,Michelle,Reid
